league,matchid,inningsno,bowlingteam,bowlername,overs,maidens,runsconceded,wickets,econ
224,3763,1,OIS TIGERS (ISDT 8.0),Nishant Shah,3.0,0.0,25.0,1.0,8.33
224,3763,1,OIS TIGERS (ISDT 8.0),Abhishek Dutt,3.0,0.0,22.0,0.0,7.33
224,3763,1,OIS TIGERS (ISDT 8.0),Sahil Shah,4.0,0.0,26.0,1.0,6.5
224,3763,1,OIS TIGERS (ISDT 8.0),Nimit Parikh,2.0,0.0,17.0,0.0,8.5
224,3763,1,OIS TIGERS (ISDT 8.0),Ajit Virwani,4.0,0.0,49.0,1.0,12.25
224,3763,1,OIS TIGERS (ISDT 8.0),Arun Madhu,1.0,0.0,13.0,0.0,13.0
224,3763,1,OIS TIGERS (ISDT 8.0),Vikram Panjwani,3.0,0.0,36.0,1.0,12.0
224,3763,2,PETIT PANTHERS (ISDT 8.0),Sachin Deshpande,4.0,0.0,35.0,1.0,8.75
224,3763,2,PETIT PANTHERS (ISDT 8.0),Sachin Jadhavar,4.0,0.0,30.0,2.0,7.5
224,3763,2,PETIT PANTHERS (ISDT 8.0),Rohan Vyavaharkar,1.0,0.0,13.0,0.0,13.0
224,3763,2,PETIT PANTHERS (ISDT 8.0),Kashif Shaikh,4.0,0.0,33.0,2.0,8.25
224,3763,2,PETIT PANTHERS (ISDT 8.0),Munawar Mansuri,4.0,0.0,41.0,1.0,10.25
224,3763,2,PETIT PANTHERS (ISDT 8.0),Harshraj Alaspure,2.0,0.0,29.0,0.0,14.5
224,3763,2,PETIT PANTHERS (ISDT 8.0),Shakir Shandiwan,0.1,0.0,4.0,0.0,24.0
224,3768,1,UTPAL WARRIORS (ISDT 8.0),Pratik Desai,2.0,0.0,11.0,1.0,5.5
224,3768,1,UTPAL WARRIORS (ISDT 8.0),Deven Dhruva,4.0,1.0,26.0,2.0,6.5
224,3768,1,UTPAL WARRIORS (ISDT 8.0),Shailesh Maniya,2.0,0.0,13.0,0.0,6.5
224,3768,1,UTPAL WARRIORS (ISDT 8.0),Asgar Khan,4.0,0.0,5.0,3.0,1.25
224,3768,1,UTPAL WARRIORS (ISDT 8.0),Gautam Sheth,4.0,0.0,30.0,0.0,7.5
224,3768,1,UTPAL WARRIORS (ISDT 8.0),Rushabh Shah,3.0,0.0,15.0,1.0,5.0
